InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Region,SpotPrice,Price,AvailabilityZone
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CA,,1.99,CA-MTL-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CZ,,1.99,EU-CZ-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,CZ,,1.99,EU-CZ-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,IS,,1.99,EUR-IS-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,NL,,1.99,EU-NL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,NL,,1.99,EU-NL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,NO,,1.99,EU-SE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,NO,,1.99,EU-SE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,RO,,1.99,EU-RO-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,RO,,1.99,EU-RO-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,SE,,1.99,EU-SE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,SE,,1.99,EU-SE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-DE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-GA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-GA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-IL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-KS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-KS-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-NC-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-4
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-WA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-DE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-GA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-GA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-IL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-KS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-KS-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-NC-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-3
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-TX-4
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-WA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-DE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-CA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-DE-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-GA-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-GA-2
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-IL-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-KS-1
1x_A100-80GB_SECURE,A100-80GB,1.0,8.0,80.0,A100-80GB,US,,1.99,US-KS-2
